sig	state	patient	n_state	n_other	delta
C5_DOWN	Cycling	BT390	169	247	-0.002723545955117257
C5_DOWN	Cycling	BT397	120	90	0.007136004823689257
C5_DOWN	Cycling	BT400	1238	1224	0.006748031298182022
C5_DOWN	Cycling	BT402	273	270	0.0007201697414934705
C5_DOWN	Cycling	BT409	345	242	0.0009411638385140586
C5_STABLE_DOWN	MES	BT333	8	379	0.005593278340416452
C5_STABLE_DOWN	MES	BT338	48	429	-0.003251289622297593
C5_STABLE_DOWN	MES	BT346	324	661	0.0015121003369346075
C5_STABLE_DOWN	MES	BT363	202	1307	0.0011584697302859936
C5_STABLE_DOWN	MES	BT368	132	1587	-0.006840452696021182
C5_STABLE_DOWN	MES	BT389	34	678	0.007570553385669254
C5_STABLE_DOWN	MES	BT390	52	364	-0.002080178422407486
C5_STABLE_DOWN	MES	BT400	120	2342	0.0014539836779634552
C5_STABLE_DOWN	MES	BT402	68	475	4.4024829687128175e-05
C5_STABLE_DOWN	MES	BT409	42	545	0.00262077147188855
C5_STABLE_DOWN	NPC	BT333	63	324	-0.012017374011863424
C5_STABLE_DOWN	NPC	BT338	26	451	-0.0015498230227002363
C5_STABLE_DOWN	NPC	BT346	154	831	0.002186006192950063
C5_STABLE_DOWN	NPC	BT363	95	1414	-0.0013544911116116776
C5_STABLE_DOWN	NPC	BT368	525	1194	-0.00855676377216208
C5_STABLE_DOWN	NPC	BT389	228	484	-0.0030550058710008265
C5_STABLE_DOWN	NPC	BT390	22	394	0.009663757132303386
C5_STABLE_DOWN	NPC	BT397	41	169	-0.003216064335131996
C5_STABLE_DOWN	NPC	BT400	159	2303	-0.002242305852362847
C5_STABLE_DOWN	NPC	BT402	22	521	0.0003970603105060144
C5_STABLE_DOWN	NPC	BT409	34	553	0.006230376485316991
C5_STABLE_DOWN	Cycling	BT333	171	216	0.009944808881898526
C5_STABLE_DOWN	Cycling	BT338	284	193	0.004087485875464925
C5_STABLE_DOWN	Cycling	BT346	259	726	0.0017341281488667537
C5_STABLE_DOWN	Cycling	BT363	267	1242	-0.0026572776864819403
C5_STABLE_DOWN	Cycling	BT368	709	1010	0.00669400206346793
C5_STABLE_DOWN	Cycling	BT389	324	388	0.0038331929484110017
C5_STABLE_DOWN	Cycling	BT390	169	247	-0.0013967133606911375
C5_STABLE_DOWN	Cycling	BT397	120	90	0.00941699645205818
C5_STABLE_DOWN	Cycling	BT400	1238	1224	0.00840842193304292
C5_STABLE_DOWN	Cycling	BT402	273	270	-0.0010983966728732586
C5_STABLE_DOWN	Cycling	BT409	345	242	0.0006788645969796336
M_HSF1_heat_shock	MES	BT333	8	379	0.013689767475865922
M_HSF1_heat_shock	MES	BT338	48	429	-0.00892263910150104
M_HSF1_heat_shock	MES	BT346	324	661	-0.0076316336269377505
M_HSF1_heat_shock	MES	BT363	202	1307	-0.0037992276167638783
M_HSF1_heat_shock	MES	BT368	132	1587	0.009758360284055856
M_HSF1_heat_shock	MES	BT389	34	678	0.0005622357587402593
M_HSF1_heat_shock	MES	BT390	52	364	0.009534885934964987
M_HSF1_heat_shock	MES	BT400	120	2342	-0.006684134816974718
M_HSF1_heat_shock	MES	BT402	68	475	0.01581201196965165
M_HSF1_heat_shock	MES	BT409	42	545	0.00256252326805384
M_HSF1_heat_shock	NPC	BT333	63	324	0.026329151517841543
M_HSF1_heat_shock	NPC	BT338	26	451	0.007744702581536256
M_HSF1_heat_shock	NPC	BT346	154	831	0.019161121627499278
M_HSF1_heat_shock	NPC	BT363	95	1414	0.0036740151264434973
M_HSF1_heat_shock	NPC	BT368	525	1194	0.013479065336308937
M_HSF1_heat_shock	NPC	BT389	228	484	0.016682389552607924
M_HSF1_heat_shock	NPC	BT390	22	394	0.007655628949100546
M_HSF1_heat_shock	NPC	BT397	41	169	0.014909042848631482
M_HSF1_heat_shock	NPC	BT400	159	2303	0.02177947095638788
M_HSF1_heat_shock	NPC	BT402	22	521	0.01456470872582083
M_HSF1_heat_shock	NPC	BT409	34	553	0.019260307784550568
M_HSF1_heat_shock	Cycling	BT333	171	216	-0.013217754587535269
M_HSF1_heat_shock	Cycling	BT338	284	193	0.0058496862568809815
M_HSF1_heat_shock	Cycling	BT346	259	726	-0.009802708699204521
M_HSF1_heat_shock	Cycling	BT363	267	1242	0.0006300509588373915
M_HSF1_heat_shock	Cycling	BT368	709	1010	-0.01775358817747008
M_HSF1_heat_shock	Cycling	BT389	324	388	-0.01839399580909129
M_HSF1_heat_shock	Cycling	BT390	169	247	0.00015479456717559792
M_HSF1_heat_shock	Cycling	BT397	120	90	-0.01012367136464909
M_HSF1_heat_shock	Cycling	BT400	1238	1224	-0.0021727991788964562
M_HSF1_heat_shock	Cycling	BT402	273	270	-0.02346583309762995
M_HSF1_heat_shock	Cycling	BT409	345	242	-0.020708078265719743
C5_UP_CCDEP	MES	BT333	8	379	0.01893851066821739
C5_UP_CCDEP	MES	BT338	48	429	0.012074665421833553
C5_UP_CCDEP	MES	BT346	324	661	0.007198348361806772
C5_UP_CCDEP	MES	BT363	202	1307	0.005003313336258919
C5_UP_CCDEP	MES	BT368	132	1587	0.009534348416314287
C5_UP_CCDEP	MES	BT389	34	678	0.0029758015614406164
C5_UP_CCDEP	MES	BT390	52	364	0.0017225834383457483
C5_UP_CCDEP	MES	BT400	120	2342	0.004346049014427922
C5_UP_CCDEP	MES	BT402	68	475	0.005944278140774695
C5_UP_CCDEP	MES	BT409	42	545	0.011313822825980702
C5_UP_CCDEP	NPC	BT333	63	324	0.004230914710467326
C5_UP_CCDEP	NPC	BT338	26	451	-0.006898571630929329
C5_UP_CCDEP	NPC	BT346	154	831	0.00041512998107984256
C5_UP_CCDEP	NPC	BT363	95	1414	0.004048584685661383
C5_UP_CCDEP	NPC	BT368	525	1194	0.0026631646813779497
C5_UP_CCDEP	NPC	BT389	228	484	0.0040730622566304
C5_UP_CCDEP	NPC	BT390	22	394	-0.0035486737383199074
C5_UP_CCDEP	NPC	BT397	41	169	0.009348715788511819
C5_UP_CCDEP	NPC	BT400	159	2303	0.003782248989365966
C5_UP_CCDEP	NPC	BT402	22	521	-0.0010860618305578162
C5_UP_CCDEP	NPC	BT409	34	553	0.0015345245865114876
C5_UP_CCDEP	Cycling	BT333	171	216	-0.008227989724108431
C5_UP_CCDEP	Cycling	BT338	284	193	-0.0013851599892511501
C5_UP_CCDEP	Cycling	BT346	259	726	-0.004974348482838509
C5_UP_CCDEP	Cycling	BT363	267	1242	-0.0002636553744868042
C5_UP_CCDEP	Cycling	BT368	709	1010	-0.005383425115355722
C5_UP_CCDEP	Cycling	BT389	324	388	-0.006414839408834694
C5_UP_CCDEP	Cycling	BT390	169	247	5.445661710556937e-05
C5_UP_CCDEP	Cycling	BT397	120	90	-0.004487224408039836
C5_UP_CCDEP	Cycling	BT400	1238	1224	-0.0028407485932440135
C5_UP_CCDEP	Cycling	BT402	273	270	0.0017441526878019253
C5_UP_CCDEP	Cycling	BT409	345	242	-0.0027940089726938844
C5_STABLE_UP_CCDEP	MES	BT333	8	379	0.021127411948412278
C5_STABLE_UP_CCDEP	MES	BT338	48	429	0.011314457485682938
C5_STABLE_UP_CCDEP	MES	BT346	324	661	0.007410490140564496
C5_STABLE_UP_CCDEP	MES	BT363	202	1307	0.0036849301024207692
C5_STABLE_UP_CCDEP	MES	BT368	132	1587	0.00829152547138401
C5_STABLE_UP_CCDEP	MES	BT389	34	678	0.003237353145031596
C5_STABLE_UP_CCDEP	MES	BT390	52	364	0.0028126741790842624
C5_STABLE_UP_CCDEP	MES	BT400	120	2342	0.0042836849788877585
C5_STABLE_UP_CCDEP	MES	BT402	68	475	0.006282844510719809
C5_STABLE_UP_CCDEP	MES	BT409	42	545	0.010771124067022853
C5_STABLE_UP_CCDEP	NPC	BT333	63	324	0.0022877353226730124
C5_STABLE_UP_CCDEP	NPC	BT338	26	451	-0.0078070109225278905
C5_STABLE_UP_CCDEP	NPC	BT346	154	831	0.0031373758776716
C5_STABLE_UP_CCDEP	NPC	BT363	95	1414	0.004474352285721017
C5_STABLE_UP_CCDEP	NPC	BT368	525	1194	0.00290276518726329
C5_STABLE_UP_CCDEP	NPC	BT389	228	484	0.005049371671104641
C5_STABLE_UP_CCDEP	NPC	BT390	22	394	-0.002630236039471323
C5_STABLE_UP_CCDEP	NPC	BT397	41	169	0.008062613752623626
C5_STABLE_UP_CCDEP	NPC	BT400	159	2303	0.004498937369947664
C5_STABLE_UP_CCDEP	NPC	BT402	22	521	-0.0005042721324647337
C5_STABLE_UP_CCDEP	NPC	BT409	34	553	0.0018651791726599365
C5_STABLE_UP_CCDEP	Cycling	BT333	171	216	-0.008825655100830776
C5_STABLE_UP_CCDEP	Cycling	BT338	284	193	-0.0020435968989623854
C5_STABLE_UP_CCDEP	Cycling	BT346	259	726	-0.006983133759654536
C5_STABLE_UP_CCDEP	Cycling	BT363	267	1242	-0.00043716049684339175
C5_STABLE_UP_CCDEP	Cycling	BT368	709	1010	-0.005629396655896346
C5_STABLE_UP_CCDEP	Cycling	BT389	324	388	-0.007865982553927009
C5_STABLE_UP_CCDEP	Cycling	BT390	169	247	-0.00010646009648684895
C5_STABLE_UP_CCDEP	Cycling	BT397	120	90	-0.0035640394523468455
C5_STABLE_UP_CCDEP	Cycling	BT400	1238	1224	-0.0042719210250303785
C5_STABLE_UP_CCDEP	Cycling	BT402	273	270	-0.000673249414232191
C5_STABLE_UP_CCDEP	Cycling	BT409	345	242	-0.003911122831051217
C5_DOWN_CCDEP	MES	BT333	8	379	0.013153782719154683
C5_DOWN_CCDEP	MES	BT338	48	429	0.0009324823119265524
C5_DOWN_CCDEP	MES	BT346	324	661	0.005789817302694122
C5_DOWN_CCDEP	MES	BT363	202	1307	0.0029374287606348526
C5_DOWN_CCDEP	MES	BT368	132	1587	-0.0020752112479240914
C5_DOWN_CCDEP	MES	BT389	34	678	0.015871529070880186
C5_DOWN_CCDEP	MES	BT390	52	364	0.0026551752069010615
C5_DOWN_CCDEP	MES	BT400	120	2342	0.005984360167296088
C5_DOWN_CCDEP	MES	BT402	68	475	0.0053577358935281705
C5_DOWN_CCDEP	MES	BT409	42	545	0.006381788610598571
C5_DOWN_CCDEP	NPC	BT333	63	324	-0.004583211550881927
C5_DOWN_CCDEP	NPC	BT338	26	451	0.0009716025904831227
C5_DOWN_CCDEP	NPC	BT346	154	831	0.0029507587992013695
C5_DOWN_CCDEP	NPC	BT363	95	1414	-0.0006132521328996443
C5_DOWN_CCDEP	NPC	BT368	525	1194	8.08817199249301e-06
C5_DOWN_CCDEP	NPC	BT389	228	484	0.002495602609845271
C5_DOWN_CCDEP	NPC	BT390	22	394	0.007662631265681674
C5_DOWN_CCDEP	NPC	BT397	41	169	0.005374714075995213
C5_DOWN_CCDEP	NPC	BT400	159	2303	0.0023973035091461314
C5_DOWN_CCDEP	NPC	BT402	22	521	-0.00038908536478954314
C5_DOWN_CCDEP	NPC	BT409	34	553	0.010980550805532951
C5_DOWN_CCDEP	Cycling	BT333	171	216	-0.0023758139299304704
C5_DOWN_CCDEP	Cycling	BT338	284	193	-0.0021753887918328774
C5_DOWN_CCDEP	Cycling	BT346	259	726	-0.006362906449437933
C5_DOWN_CCDEP	Cycling	BT363	267	1242	-0.008749378195486712
C5_DOWN_CCDEP	Cycling	BT368	709	1010	-0.004122564010228924
C5_DOWN_CCDEP	Cycling	BT389	324	388	-0.006379122363735723
C5_DOWN_CCDEP	Cycling	BT390	169	247	-0.009472267970833781
C5_DOWN_CCDEP	Cycling	BT397	120	90	-0.0032116539949189615
C5_DOWN_CCDEP	Cycling	BT400	1238	1224	-0.0008655690125195514
C5_DOWN_CCDEP	Cycling	BT402	273	270	-0.008882392754196111
C5_DOWN_CCDEP	Cycling	BT409	345	242	-0.00686072452564257
C5_STABLE_DOWN_CCDEP	MES	BT333	8	379	0.01487987079467834
C5_STABLE_DOWN_CCDEP	MES	BT338	48	429	0.0014574827519507894
C5_STABLE_DOWN_CCDEP	MES	BT346	324	661	0.006412984126635601
C5_STABLE_DOWN_CCDEP	MES	BT363	202	1307	0.003587603441115861
C5_STABLE_DOWN_CCDEP	MES	BT368	132	1587	-0.0026367363254248266
C5_STABLE_DOWN_CCDEP	MES	BT389	34	678	0.015624239066533985
C5_STABLE_DOWN_CCDEP	MES	BT390	52	364	0.0015394253943132874
C5_STABLE_DOWN_CCDEP	MES	BT400	120	2342	0.006294960702196817
C5_STABLE_DOWN_CCDEP	MES	BT402	68	475	0.006111530995047687
C5_STABLE_DOWN_CCDEP	MES	BT409	42	545	0.008048244484405997
C5_STABLE_DOWN_CCDEP	NPC	BT333	63	324	-0.008248224864866205
